"gid"|"categoria"|"nome"|"citta"|"indirizzo"|"numero"|"cap"|"fonte"|"note"|"pubblicabile"|"verificato"|"datains"|"utenins"|"datamod"|"utenmod"|"dataver"|"utenver"|"geom"|"distanza_minima"|"comune_ist"|"comune_nom"
"13968"|"slot"|"EA670150438L"|"VERBANIA (VB)"|"CORSO BENEDETTO CAIROLI 39, VERBANIA (VB)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00005CC808A892761C41CA5C7E1562685341"|"500"|"103072"|"VERBANIA"
"13969"|"slot"|"EA010181780A"|"VERBANIA (VB)"|"VIA GUIDO ROSSA 28/A, VERBANIA (VB)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00006BB19BB874721C41CC63F01D32675341"|"500"|"103072"|"VERBANIA"
"13970"|"slot"|"EA010000384A"|"CASSINELLE"|"VIA MAZZINI 3, CASSINELLE (AL)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000365CD572FF651C4105BAA5004ED75241"|"300"|"006044"|"Cassinelle"
"13971"|"slot"|"EA670059919R"|"VERBANIA (VB)"|"VIA BELGIO 57 A, VERBANIA (VB)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000B59E134B2C741C4103B397DA76675341"|"500"|"103072"|"VERBANIA"
"13972"|"slot"|"EA010001388S"|"ARONA (NO)"|"VIALE FRANCESCO BARACCA 45, ARONA (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000019A120A392721C41E261EB51A6535341"|"500"|"003008"|"Arona"
"13973"|"slot"|"EA010001689R"|"ARONA (NO)"|"VIA CARDUCCI 2, ARONA (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000026B1E2D5326F1C41F1B86916A5535341"|"500"|"003008"|"Arona"
"13974"|"slot"|"EA010165437Q"|"ARONA (NO)"|"VIA MARCONI 51, ARONA (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00003D14191AD46F1C41AD43DDF5E1545341"|"500"|"003008"|"Arona"
"13975"|"slot"|"EA010001081Z"|"ARONA (NO)"|"VIA LUNGOLAGO MARCONI 71, ARONA (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000EF815FF5D56F1C413137AD7CEC545341"|"500"|"003008"|"Arona"
"13976"|"slot"|"EA010170784R"|"VERBANIA (VB)"|"VIA FRANZOSINI 20, VERBANIA (VB)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000045C30E2D86721C41957E04D426685341"|"500"|"103072"|"VERBANIA"
"13977"|"slot"|"EA690147171A"|"NOVARA (NO)"|"CORSO VERCELLI 2/N, NOVARA (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00007FB8A8D363A41C415363EE25BA315341"|"500"|"003106"|"NOVARA"
"13978"|"slot"|"EA010034631A"|"ALESSANDRIA"|"VIA MARIO MAGGIOLI 57, ALESSANDRIA (AL)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000903427B261A01C41F70AAE049EF75241"|"500"|"006003"|"ALESSANDRIA"
"13979"|"slot"|"EA010172333A"|"NOVARA (NO)"|"VIA PIETRO MICCA 68, NOVARA (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00002FBBB370A2A51C410840C792E0325341"|"500"|"003106"|"NOVARA"
"13980"|"slot"|"EA010014432A"|"ALESSANDRIA"|"VIA LUNGOTANARO S. MARTINO 2, ALESSANDRIA (AL)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00003845AEFA60A11C410BA91B4634F95241"|"500"|"006003"|"ALESSANDRIA"
"13981"|"slot"|"EA010004462R"|"ALESSANDRIA"|"VIA MAGGIOLI 35, ALESSANDRIA (AL)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000037A92ED03F9F1C41D85A1E5B9EF75241"|"500"|"006003"|"ALESSANDRIA"
"13982"|"slot"|"EA010004733A"|"NOVARA (NO)"|"VIA AGOGNA 13/A, NOVARA (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000DF25032FF3A31C41F9B666DA8D325341"|"500"|"003106"|"NOVARA"
"13983"|"slot"|"EA670009439R"|"BORGO TICINO (NO)"|"VIA SEMPIONE 29, BORGO TICINO (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000C468ABC066A61C41AF6E25732E4C5341"|"300"|"003025"|"Borgo Ticino"
"13984"|"slot"|"EA010115412A"|"ALESSANDRIA"|"CORSO F. CAVALLOTTI 33, ALESSANDRIA (AL)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00001BC10237EF9F1C419E0321AB94F85241"|"500"|"006003"|"ALESSANDRIA"
"13985"|"slot"|"EA690138686A"|"NOVARA (NO)"|"VIALE VOLTA 32/E, NOVARA (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000038216A993BA21C4190604181F5315341"|"500"|"003106"|"NOVARA"
"13986"|"slot"|"EA010158602F"|"NOVARA (NO)"|"VIA VALSESIA 10, NOVARA (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000019F0EB188CA21C4116A570AB19335341"|"500"|"003106"|"NOVARA"
"13987"|"slot"|"EA670103859R"|"NOVARA (NO)"|"VIALE VOLTA 85 M, NOVARA (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000CAE1596F33A31C41BE9D7BD2C5325341"|"500"|"003106"|"NOVARA"
"13988"|"slot"|"EA670059900A"|"NOVARA (NO)"|"VIA BIANDRATE 1, NOVARA (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00007469B82F45A31C41685CA5BAEC325341"|"500"|"003106"|"NOVARA"
